Adalia,"41.6438088287139,-5.1263019774"
Aguasal,"41.3040932127772,-4.6263611590"
Aguilar-de-Campos,"41.9762697026253,-5.1966922789"
Alaejos,"41.3073713272509,-5.2174956654"
Alcazaren,"41.6529473, -4.7283877"
Aldea-de-San-Miguel,"41.4457841943164,-4.6115167303"
Aldeamayor-de-San-Martin,"41.6529473, -4.7283877"
Almenara-de-Adaja,"41.2071466103346,-4.6799801076"
Amusquillo,"41.7506158813509,-4.2901800697"
Arroyo-de-la-Encomienda,"41.6247643815669,-4.7922456571"
Ataquines,"41.1852529705255,-4.7756640226"
Bahabon,"41.6529473, -4.7283877"
Barcial-de-la-Loma,"41.95412592339,-5.279930550125"
Barruelo-del-Valle,"41.6751050124769,-5.0845655979"
Becilla-de-Valderaduey,"42.0976102087316,-5.2045977027"
Benafarces,"41.6212175756859,-5.2789506929"
Bercero,"41.5584761250053,-5.0725019040"
Berceruelo,"41.5907018011593,-5.0169526654"
Berrueces,"41.9505147032558,-5.0965679158"
Bobadilla-del-Campo,"41.1813472317549,-5.0354943446"
Bocigas,"41.24336607488,-4.686725825204"
Bocos-de-Duero,"41.6211609753566,-4.0587457057"
Boecillo,"41.5389094260949,-4.7266046314"
Bolanos-de-Campos,"42.013783403256,-5.27453245652"
Brahojos-de-Medina,"41.221979349715,-5.04444258417"
Bustillo-de-Chaves,"42.1248958189153,-5.1084240480"
Cabezon-de-Pisuerga,"41.6529473, -4.7283877"
Cabezon-de-Valderaduey,"41.6529473, -4.7283877"
Cabreros-del-Monte,"41.844715221929,-5.28440147511"
Campaspero,"41.5011044287228,-4.2251893317"
Camporredondo,"41.4695229854257,-4.5139635212"
Canalejas-de-Penafiel,"41.5159984224345,-4.1148088850"
Canillas-de-Esgueva,"41.7643284293876,-4.1405655590"
Carpio,"41.217322448052,-5.11448859980"
Casasola-de-Arion,"41.6529473, -4.7283877"
Castrejon-de-Trabancos,"41.6529473, -4.7283877"
Castrillo-de-Duero,"41.5843543502103,-4.0101206761"
Castrillo-Tejeriego,"41.690225953624,-4.36655910327"
Castrobol,"42.1359022994308,-5.3141601609"
Castrodeza,"41.6473843290402,-4.9497475839"
Castromembibre,"41.6775596110221,-5.3108036205"
Castromonte,"41.7623279491155,-5.0566460434"
Castronuevo-de-Esgueva,"41.6690028862223,-4.5856164564"
Castronuno,"41.413602481515,-5.24556202724"
Castropo,"42.1179731112124,-5.1734290626"
Castroverde-de-Cerrato,"41.7475635538176,-4.2426345365"
Ceinos-de-Campos,"42.0288869807296,-5.1462303091"
Cervillego-de-la-Cruz,"41.1795941594822,-4.9743065815"
Cigales,"41.7763115493446,-4.7152632192"
Cigunuela,"41.640910051225,-4.85584451573"
Cisterniga,"41.6529473, -4.7283877"
Cogeces-de-iscar,"41.6529473, -4.7283877"
Cogeces-del-Monte,"41.5424537272328,-4.3344565927"
Corcos,"41.7936770498096,-4.6637917717"
Corrales-de-Duero,"41.6771897303804,-4.0579581702"
Cubillas-de-Santa-Marta,"41.8181124056574,-4.6030559943"
Cuenca-de-Campos,"42.0446005798328,-5.0536035067"
Curiel-de-Duero,"41.6452382410094,-4.0907431043"
Encinas-de-Esgueva,"41.7612015925687,-4.0831692750"
